19-12-2025 11:14
Defaut effacé: ID=738, Date=2025-12-01, Heure=18:22, Unité=501, Code=10080, État=3, Send=[25]
Defaut effacé: ID=739, Date=2025-12-01, Heure=18:22, Unité=502, Code=10080, État=3, Send=[25]
Defaut effacé: ID=740, Date=2025-12-01, Heure=18:22, Unité=503, Code=10080, État=3, Send=[25]
23-12-2025 08:51
Defaut effacé: ID=741, Date=2025-12-19, Heure=11:14, Unité=501, Code=10080, État=3, Send=[25]
Defaut effacé: ID=742, Date=2025-12-19, Heure=11:14, Unité=502, Code=10080, État=3, Send=[25]
Defaut effacé: ID=743, Date=2025-12-19, Heure=11:14, Unité=503, Code=10080, État=3, Send=[25]
Defaut effacé: ID=744, Date=19-12-2025, Heure=11:23, Unité=1, Code=100066, État=3, Send=[25]
Defaut effacé: ID=745, Date=19-12-2025, Heure=11:23, Unité=2, Code=100066, État=3, Send=[25]
Defaut effacé: ID=746, Date=19-12-2025, Heure=11:23, Unité=3, Code=100066, État=3, Send=[25]
Defaut effacé: ID=747, Date=19-12-2025, Heure=11:23, Unité=4, Code=100066, État=3, Send=[25]
Defaut effacé: ID=748, Date=19-12-2025, Heure=11:23, Unité=5, Code=100066, État=3, Send=[25]
Defaut effacé: ID=749, Date=19-12-2025, Heure=11:23, Unité=6, Code=100066, État=3, Send=[25]
Defaut effacé: ID=750, Date=19-12-2025, Heure=11:23, Unité=7, Code=100066, État=3, Send=[25]
Defaut effacé: ID=751, Date=19-12-2025, Heure=11:23, Unité=8, Code=100066, État=3, Send=[25]
Defaut effacé: ID=752, Date=19-12-2025, Heure=11:23, Unité=9, Code=100066, État=3, Send=[25]
Defaut effacé: ID=753, Date=19-12-2025, Heure=11:23, Unité=10, Code=100066, État=3, Send=[25]
Defaut effacé: ID=754, Date=19-12-2025, Heure=11:23, Unité=11, Code=100066, État=3, Send=[25]
Defaut effacé: ID=755, Date=19-12-2025, Heure=11:23, Unité=12, Code=100066, État=3, Send=[25]
Defaut effacé: ID=756, Date=19-12-2025, Heure=11:23, Unité=13, Code=100066, État=3, Send=[25]
Defaut effacé: ID=757, Date=19-12-2025, Heure=11:23, Unité=14, Code=100066, État=3, Send=[25]
Defaut effacé: ID=758, Date=19-12-2025, Heure=11:23, Unité=15, Code=100066, État=3, Send=[25]
Defaut effacé: ID=759, Date=19-12-2025, Heure=11:23, Unité=16, Code=100066, État=3, Send=[25]
Defaut effacé: ID=760, Date=19-12-2025, Heure=11:23, Unité=17, Code=100066, État=3, Send=[25]
Defaut effacé: ID=761, Date=19-12-2025, Heure=11:23, Unité=18, Code=100066, État=3, Send=[25]
Defaut effacé: ID=762, Date=19-12-2025, Heure=11:23, Unité=19, Code=100066, État=3, Send=[25]
Defaut effacé: ID=763, Date=19-12-2025, Heure=11:23, Unité=20, Code=100066, État=3, Send=[25]
Defaut effacé: ID=764, Date=19-12-2025, Heure=11:23, Unité=21, Code=100066, État=3, Send=[25]
Defaut effacé: ID=765, Date=19-12-2025, Heure=11:23, Unité=22, Code=100066, État=3, Send=[25]
Defaut effacé: ID=766, Date=19-12-2025, Heure=11:23, Unité=23, Code=100066, État=3, Send=[25]
Defaut effacé: ID=767, Date=19-12-2025, Heure=11:23, Unité=24, Code=100066, État=3, Send=[25]
Defaut effacé: ID=768, Date=19-12-2025, Heure=11:23, Unité=25, Code=100066, État=3, Send=[25]
